"",PARAGRAPHS
348,Lightweight powerful and easy to use and maintain
349,Unbelievable Vacuum I have so much to say about this vacuum and its all good things
350,This vacuum is extremely impressive It comes with a stand wall charger spare battery two separate attachments and a spare filter The battery lasts quite a long time I am not sure as to how long be...
351,Efficient stick needs balance The vacuum stick has great suction on both hardwood and our area rugs It does have some issues trying to pickup larger debris but a lot of this is toys you wouldn’t w...
352,An advantage to this is the free standing base for charging and storing the vacuum vice having to hang it on a wall Plus having the option to store most attachments to the stand and not having to ...
353,Expected Way More From This Vacuum I expected way more from this LG stick vacuum While it does clean up fairly well there are several issues that keep this from being a great stick vacuum
354,Positives firstit is lightweight and compact has good suction on high really good suction on turbo and does a mostly good job picking up dog hair dirt and dust on most surfaces The charging statio...
355,What keeps this unit from being great are the many negativesLow speed is mostly useless I have to use high or turbo to pick everything up off the floor and rugscarpet It struggles with larger soli...
356,I would not recommend this vacuum and would suggest anyone looking for a stick vacuum to look elsewhere
357,Poor suction Does not pick items up well I regret this purchase completely Always feel like its on low power mode I push items around too often and it does not pull them up becauce it does not hav...
358,Lighter than Dyson Could not choose between Dyson V15 and the LG Cordless Decided to go for the LG because I feel like Dyson is much heavier when holding Also LG does not need to keep pressing on ...
359,So far so good PROS3 speed settings 4 accessories and a cleaning brush Having a backup battery is awesome but I barely need it It makes cleaning easier I like that you dont have to hold the button...
360,CONSIt doesnt like picking up items over a certain size with the main head for example Cheerios might give you a hard time Taking apart the powered main head should be easier because you will need...
361,Only allergy friendly if you don’t have to empty… Thought I was going to love this vacuum as I have allergies to dust and it has a hepa filterallergy certified However unlike my dyson that empties...
362,The other downside is that for some reason after a couple of months the motor head will now sometimes sound like it is rattling even when there is nothing in it It seems to still work fine but it ...
363,I LOVE the extra battery as I can vacuum almost my whole house on them but I run a bit short because for carpet you really need to use the higher suction settings
364,And while I thought it was doing great picking up pet hair by the looks of things the other day I set a lint roller down where I had just vacuumed really well and was sad to see that much more pet...
365,Great so far I’m really liking this product from LG I was in the market for a new vacuum because my cordless Bissell PowerLifter had about all it could take I bought the Bissell on a whim for arou...
366,Bit heavier than dyson I specifically picked this model because the tool for bed is included However it doesn’t include the tool for only hard floor
367,Help I’m addicted to vacuuming Alright guys I’m not going to hide my enthusiasm— this vacuum has sent me spiraling into some sort of vacuuming obsession because I absolutely love this thing I have...
368,My caveat to all these statements is that I live in a less than 900 squarefoot apartment that is primarily low pile carpet and tile
369,This is my first cordless vacuum so I have no real basis of comparison but I can tell you what I was looking for in one— something relatively lightweight with decent suction that I could use to ru...
370,As I mentioned above I have been using this vacuum to clean the entirety of my apartment every day for the past seven days I have used it primarily on the standard power vs turbo and have yet to g...
371,Pairing with the app was relatively easy and an added bonus for tech nerds like myself who like gadgets and apps and things of the sort Registration of the product was also easy with several optio...
372,My absolute favorite part of this vacuum is the fact that the top can come off to become a hand vacuum The added attachment for furniture or pet hair however you want to see it is nothing short of...
373,Suction and pick up have been fantastic both on my low pile carpet and tile flooring
374,Overall I like this vacuum significantly more than my corded Dyson It is 100 easier to use ergonomically better and userfriendly I will be interested to see how it stands up over time once the fil...
375,While the Kompressor Technology may not necessarily be worth the extra cost I did purchase the model with this option and have to say it is kind of cool If the extra cost isn’t a huge factor for y...
376,Attached is a photo of vacuuming I did today and last night after seven days of vacuuming every day I am so happy to know that this vacuum will give me a cleaner home when I am keeping my screen d...
377,Get one and I promise you won’t be disappointed
378,Perfect Vaccuum For Townhomes Ive been wanting a stick vacuum for years I was dead set on a Dyson because it is one of if not the best vacuum brands However when I went looking during black Friday...
379,Small but mighty Super impressed with this vacuum Initially going into using this I assumed this would be more of a secondary vacuum for me to use for quick surface vacuuming But by the end of the...
380,Initial setup of the vacuum was easy LG provides a quick short cut set of directions to get everything set up in the included Maintenance Guide I love that this vacuum comes with a second battery ...
381,The vacuum itself is sleek in design and super light The telescopic wand is adjustable to a bunch of different lengths which makes the vacuum very versatile The two nozzles and three vacuum access...
382,After letting the batteries charge fully I first tried out my new vacuum on the hardwood floors in my house and the first thing I immediately noticed with this vacuum was how quiet it is – it’s un...
383,Emptying the canister is oddly satisfying and the Kompressor feature makes it conveniently easy to dispense the contents into the trash I really appreciate this feature on the canister since the c...
384,For my next test run I decided to try out the Power Punch Nozzle to tackle a cover on a chair that one of my cats loves to sleep on For this test run I attached the nozzle directly to the vacuum b...
385,Last after being unexpectedly impressed by the power of this vacuum I decided to test using this vacuum for all of my carpeted rooms in the house on the Turbo mode Not only was I able to vacuum al...
386,Overall this vacuum is extremely impressive It is very versatile in use and shockingly powerful for its size but very quiet Its easy to handle and very light weight and between the longevity of th...
387,Better than a Dyson Ive been using the LG CordZero for about two weeks to clean up various daytoday messes that occur with two young kids Overall this is a good alternative to the Dyson V7 that I ...
388,Pros  \nThe comfort of the handle and not having to constantly squeeze a trigger is awesome It seems like a small thing but not having to constantly hold down a trigger while vacuuming is amazing ...
389,The capability to easily swap out the battery for a fresh fully charged one is HUGE and it changes your experience when using a handheld On my old Dyson once the battery died I was done for at lea...
390,Having three suction settings are great for when you dont want to fling fine dust and debris all over
391,The Kompressor feature is an interesting way to make up for a small dust bin It also speeds up emptying the full container and minimizes the amount of cleaning necessary when emptying the bin
392,I really like that the entire machine practically can come apart to facilitate cleaning
393,Cons  \nThe dust bin is small The Kompressor feature helps to extend the capacity but its still small compared to my other vacuum
394,The LG feels much heavier than my previous Dyson even though the total weight is not that different The weight distribution is much more top heavy feeling compared to the Dyson
395,The air exhaust blows straight up from the top of the unit Depending on how youre using it it could be blowing straight in your face
396,The extendable floor arm feature is of little value Im concerned at some point it might break and will make the floor attachment useless
397,The design of how the wall mount screws go into the wall makes it impossible to use anything but a manual screwdriver to attach the plate to the wall unless you have a very long narrow screw bit a...
398,The dust bin lid has a small hook on the end that unfortunately catches a lot of dirt and hair when you empty the bin Its also not a touchless design like how the Dyson is designed although the Ko...
399,The WiFi feature is interesting but I dont think it really adds anything necessary It it nice getting notifications of when the vacuum is finished charging and seeing how much time I spent cleanin...
400,Excellent Cleaning System The LG Cordzero is my first cordless stick vacuum and overall I absolutely love it
401,Here’s the things I like about the vacuum  \n The vacuum and accessories are beautiful So much so I almost didn’t even want to use it and get it dirty but alas
402,Setup is really easy with clear instructions and accompanying images
403,The vacuum has a small footprint It easily stores in smaller spaces and corners where you barely notice it but it’s always at the ready
404,Using it is straightforward with three buttons that allow you to turn it onoff toggle between the three power modes normal power and turbo and monitor the vacuum via WiFi and the ThinQ app
405,This thing is versatile with the included extendable wand power nozzle punch nozzle brush tool and crevice tool I have zero issues cleaning hardwood floors carpeting rugs trim furniture and under...
406,It’s also light I can easily wield it onehanded
407,Both batteries charge at the same time with one in the vacuum and the other in the stand
408,Battery life is excellent I am able to clean my partner’s 800 sq ft apartment in power mode with one battery I can clean my 1700 sq ft townhome in power mode with both batteries with juice left o...
409,The entire cyclone system and filters can be removed Filters are washable minimizing replacement costs downtheroad
410,The Kompressor system pushes dirt and dust down inside the dustbin allowing you to clean longer before having to empty it Thought this was a gimmick but it actually works well
411,We have a Beagle running around This vacuum picks up short dog hair with ease I love that I can just grab the vacuum off its stand for quick touch ups seeing as his shedding is constant
412,And the things I don’t like so much  \n While having a vacuum that can give you usage information and help you diagnose problems is nice it’s also a bit unnecessary This is a vacuum cleaner not a ...
413,While the Kompressor system works well most of the time sometimes dog hair gets stuck in the cyclone system When you push the Kompressor down hair sometimes gets above it and requires manual clea...
414,It would be nice to have a way to connect attachments to the vacuum body instead of carrying them with you separately or running back and forth to the vacuum’s stand to swap them out
415,I find normal mode to be a bit weak when it comes to suction I run the vacuum on power mode at all times
416,These minor flaws do not detract significantly from my overall thoughts on this vacuum as no product is going to be perfect for everyone I think this vacuum hits enough marks to be a really great ...
417,Light weighteasy to maneuver Let me start my review by saying that vacuum cords are the bane of my existence I fight with them constantly run them over with the vac pull them out of the wall by ac...
418,It is super lightweight but very powerful I like the two settings regular and turbo I mainly use the turbo It has some awesome featuresIt comes with 2 batteries so you dont have to buy the spare a...
419,It has a cool power punch nozzle for bedding It doesnt spin it beats the bedding which loosens up dog hair and other things in the bed cookie crumbs My dogs hair doesnt even come out with washing...
420,I ran it on a single charge for several days using it off and on I let the bin get very full and still had strong suction I like the Kompressor sic lever that packs the dirt and dust down so you c...
421,The only downside I have found is that it did not work well in my car In its defense my car is REALLY dirty with a lot of small rocks and pebbles
422,I was able to vacuum up cobwebs on my porch a place I could never bring my corded vacuum cleaner
423,Of course it is wifi compatible and has an accompanying app called LG thinQ With the app you can check charging status and length of use Cute addition but not necessary
424,LG Cordless with KOMRESSSOR  Works for me The plusses are that this can charge 2 batteries at once So it is not as heavy as the larger Vacuum cordless competitors\npowerful for the size and picks ...
425,Small Design Details Make Big Impact Cordless stick vacuums have been synonymous to a certain brand we all know very well Since then there has been an influx of stick vacs from various manufacture...
426,Here is what I loved about the LG CordZero
427,\n Removable Battery Packs  This is a killer feature Swap em for more run time when you need it Also most batteries lose steam after a couple of years and those builtin solutions require you to se...
428,Longer Run Times  Each battery averaged about 3035 minutes using the Power Nozzle which I use mostly on normal power LG does advertise 60 minutes per battery but only if youre using the nonpowere...
429,Telescoping Wand  You don’t realize how convenient this is until you’ve tried it yourself Very useful on stairs
430,Very Lightweight  My current stick vac a 2019 model is heaaavvvy The CordZero is very light and it is especially convenient when used in handheld fashion
431,An OnOff Toggle Button  That’s right You don’t have to pull and hold a trigger to keep the vacuum running No hand fatigue
432,Kompressor  With this dirt compactor lever it helps keep the machine small enough yet allows for more dirt bin space Kind of a innovative way to solve the bin space problem and keep the vacuum li...
433,Charging Stand Footprint  With the telescoping wand in the shortened position the vac can be stored most anywhere without sticking out and up like a sore thumb It’s simplistic design also helps k...
434,Here’s what I didn’t like
435,\n Very Lightweight  Wait what Well since it is lightweight I feel like the Power Nozzle is not “digging its claws” into the carpetrug floor if you know what I mean I don’t have any scientific pro...
436,No OnBoard Attachments  You cannot attach any tools onto the stick vac Well at least I think you can’t It’s kind of nice to have the tools you need right when you need them
437,A Trigger Guard  But no trigger I think the grip would feel a lot more comfortable without the trigger guard there No need to have it in my opinion
438,Power Punch tool  I get the principle of its use but I found myself continually smearing pet hair back and forth A handheld power roller would have been a better attachment in my opinion
439,Power Nozzle clearance  I had problems getting the roller head deep underneath small clearances I currently do not have this problem with my incumbent vacuum
440,A 3 bar battery indicator  Im probably being nitpicky but it would be nice to see a time remaining display on the unit
441,But none of this really matters unless the CordZero actually sucks Luckily the suction power of the CordZero is plenty for the needs of most consumers It has three settings Normal Power and Turbo ...
442,Lg vacuum Really easy to install but the manual has various LG vacuum models and accessories which made it difficult to follow The pictures also are small so we not sure which accessories we had u...
443,Love it Bought it when it’s on sale This is a great vacuum but prob wouldn’t purchase it at regular price same thing goes with any other stock vacuum love the kompressor lever to distract the tras...
444,Well made product Easy to use I like the tube length adjustable feature in LG I had a Dyson animal before and it couldn’t be adjusted Very easy to operate too One spare battery adds to the value R...
445,7030 Hard Floors and Carpet House Love it The LG Stick Vac came as a huge surprise to me As I have always been a traditional regular vacuum guy that plugs them into the closest outlet to use this ...
446,Right out of the box assembly was quick and easy Came with an assortment of different addon tools for a variety of floorscrackscrevasses My home is roughly 1850 sq ft with mostly hard floors tiles...
447,The stand itself held all the attachments except 2 the cleaning brush unless I am blind and cant find where to hang the little guy and the Power Punch Nozzle See pic
448,While charging I downloaded the app and set up WiFi yes the vacuum has WiFi and noted how plain and simple it is to use The app will send a notification to your phonetablet letting you know the Va...
449,On to the Vac it self It is compact lightweight and 100 fully adjustable and can customize it however you see fit I am 6 tall guy and have no issues using it comfortably You want short take off th...
450,On hard floors I would give this a 710 rating as sometimes I notice that it will PUSH some of the debris away instead of sucking it up Remedied by either picking up the vac and placing it on top o...
451,On carpet this vac sucks In a GOOD way Stuff my other vac missed it picked up that I didnt know was there All in all I used the Regular setting and 1 fully charged battery gave me 50 minutes even ...
452,The Kompressor compressor is basically if you are not near a trash can to empty the bin Honestly to me its more of a gimmick Yes it works but it seems to let hairs and finer dustdebris into the wa...
453,By the way the LG Stick Vac is AMAZING for cars I cleaned out my whole Jeep in about 10 minutes just finding all sorts of filth to get rid of
454,Pros
455,All around great Vac for ANY home
456,Multiple attachments included to clean up everywhere
457,Build quality is superb Can easily lift up and go anywhere Stairs Bathrooms Under the bed Yes to all
458,Mountable to the wall for nice aesthetics
459,CORDLESS Love it to death
460,Battery Life  On regular setting
461,Suction is great on carpets beds blankets and rugs
462,Weight  Almost 6lbs
463,Cons
464,Price ish
465,Battery Life using Turbo barely 5 mintues
466,Hard Floors  debatable on what tools you are using Reg attachment seems to like to push the stuff away then to pick it up
467,Like I said earlier I am spoiled by this Stick Vac and find myself not even touching the other vacs I have had for years
468,Side note this Vac has a TON of protective plastic on it make sure you get it all off
469,Better than a Dyson In the past Ive had the Dyson v8 V10 and V11 and have had issues with every single one of them Finally got this because it is similar to the Dyson v8 and I liked that style Thi...
470,Good but not great I bought this product after extensive research into cordless vacs and the results have been a mixed bag
471,On hardwood floors and area rugs it does a great job cleaning up all sorts of debris It struggles just a BIT on area rugs on the higher settings but its not a dealbreaker or anything Emptying the ...
472,Now the lowsfirst and foremost the punch tool was purchased to help clean my dogs hair from furniture and Ive found it to be pretty useless Very disappointed in that attachment Secondly the turbo ...
473,Bottom line its a fine vacuum but it doesnt do enough to justify the steep price tag For hardwood floors and touching upversatility its fine but if youre looking for a workhorse Id suggest looking...
474,Like it so far We switched from Dyson and I do like that you don’t have to hold down the trigger but I suppose that’s personal preference Definitely enough suction spare battery is a plus and my p...
475,Better than anticipated I am coming from a traditional bagless upright vacuum I had expectations that were set low since I couldnt see this small portable vacuum doing any heavy jobs I was mistake...
476,Initial 24 Hour Impression We had a Dyson break down again so we decided to give the LG CordZero a try This was our first stick vacuum as we have only had upright vacuums in the past We got lucky ...
477,We got lucky with the open box as it looked like it was never used Set up was easy We placed the charging stand but we will look to mount it if we keep the vacuum We liked the fact it came with tw...
478,We have carpet on our stairs and between pets and kids they have been neglected as the Dyson was too difficult to bring up and down the stairs This was not a problem with the CordZero It also work...
479,There are some minuses The obvious one is how much dirt it holds Coming from an upright its like I can sneeze and the canister is filled It also clogged up a lot but Im pretty confident once we go...
480,I saw a few review videos showing the vacuum had trouble with larger items than Cheerios For me it was inconsistent but it was definitely challenged with items like the dry dog feed our retriever ...
481,I know it seemed like I listed more negatives than positives but overall Im happy with the vacuum Its much lighter than our uprights which means getting it around the house will be a lot easier Su...
482,Is it worth the price Maybe not the 700 MSRP but if you catch it on sale itll be worth it
483,And again this is a 24 hour review Ill post again after a little more time
484,Best vacuum ever I love this cordless vacuum It cleans so much better than my dyson and bissell It’s light weight and and very very quiet It’s the only vacuum that my dogs don’t go crazy over when...
485,Great Vacuum for Everyday Use What a great vacuum It has great suction power great battery life and is super easy to use Love being able to take it everywhere in my house to quickly pick up messes...
486,Great Cordless Vacuum This is my 2nd purchase of this exact productmodel First one died at around 15 years old Fortunately I purchased additional warranty protection plan Company called it a loss ...
487,Light Weight This LG vacuum is as advertised Don’t let the quiet sound fool you it is very powerful when using turbo mode This mode does make the battery run down faster but it comes with two to e...
488,LG cordless vacuum I love love love my new vacuum I have lower back pain so I needed a lightweight but effective vacuum that doesn’t take up a lot of space This is perfect … And it won’t void my c...
489,Great Product Lightweight yet powerful Love the longer battery life Wife likes it much better than her Dyson
490,Best vacuum cleaner I had so far Very easy to manœuvre Do a great job on carpet and travertine floors Better than Dyson
491,Best vacuum for the money Great vacuum and very easy to use Lightweight and works great on hardwood floors and carpet Charging stand is great plus it comes with 2 batteries Buy it amd you will be ...
492,Great Stick Vac Love this vacuum We had a stick vac that was corded and it was still a hassle to get out This LG vac actually makes us vacuum a lot more Its so easy to just grab real quick and do ...
493,Better Than Dyson I purchased this when my Dyson stopped working So far it has been more reliable than the Dyson I really like the fact that it comes with a solid freestanding stand so I dont have...
494,Very please It’s a great stick vacuum I really like the way it’s designed and how quiet it runs and it picks up dirt really well I like the way it’s maneuverable I can recommend that someone shoul...
495,Enjoying it We came from a Dyson and are really enjoying this vacuum Nice shape no need to hold down the button to vacuum Seems high quality and nice attachments make it very versatile
496,Vacuum it has a good design it works very well to be compact and I like it with its base to charge it
497,good one does the job good one does the job good one does the job good one does the job
498,Mrs Great vacuum Dyson has a run for its money Would recommend
499,Happy with Product Easy to use Lightweight and portable Simple to clean
500,Pretty Doggone Good Vacuum We really love this vacuum at our home Its soo light that the kids can even use it Although its still a fight to get them to clean up after themselves
501,Pros   Lightweight and yet powerful enough to clean up the catdog hair cereal remnants and other enjoyable parts of life that kids and animals leave for you \n The attachments are easy to store an...
502,Cons   It does not seem to have the same suction power as a larger more traditional vacuum  That being said it cleans every room in our townhouse in one go
503,Good not great We love it but it is a little short if you’re a taller person Cleans great doesn’t get under furniture that easy
504,Small not cheap but AMAZING I was a bit skeptical of this vac I got it as part of an appliance package deal where I needed to get one more LG appliance to get 10 off of everything so it was kind o...
505,Happy My Dyson of 4 years finally broke on me so I figured it was time to get a new vacuum Upon my scavenger I was inbetween the LG or another Dyson but I really liked how the LG came with a stand...
506,Good vacuum Good vacuum that is probably on par with a Dysons
507,LG Vacuum Great and convenient vacuum Come with 2 batteries so you always have power
508,Vacuum review Vacuum works good better then most Small flaws with the suction
509,Works well Powerful quiet and versatile for smooth floow and short pile carpets
510,Love it I used Dyson for several years but recently switched to LG CordZero I love this vacumn so much but I really wish they had the all in one tower where they suck the dust out without removing...
511,Love it Absolutely love this vacuum It’s pricey but I think it’s worth it It did get clogged once and I had to take it apart
512,Performer Sobfar its been great Does well both on carpet and hardwood
513,Great  unless you have pets Really impressed with this vacuum Unfortunately the Power Punch nozzle that comes with this vacuum for cleaning furniture does nothing for picking up dog and cat hair I...
514,Great little vacuum Very pleased with this vacuum Quite powerful when on turbo mode and great build quality on the accessories The spin brush is great on low pile carpet and rugs does well pulling...
515,Excellent Excellent Works well I chose this over the other brand because it has interchangeable batteries you can charge one while using the other and because it has an on button You dont have to ...
516,Loved it but returned it Loved it was perfect for our bare floors downstairs and carpeted upstairs Ended up returning it because we didnt think the Kompressor part of it was worth the extra 200  E...
517,great buy it does the job as advertised love the 10 yr warranty on the motor \nvery satisfied with the purchase and the performance of turbo mode
518,Love it I decided to give this a try since I love my LG washer and dryer It has some cool features that I havent seen elsewhere The vacuum feels sturdy and well built especially when comparing to ...
519,Excellent cordless vacuum Excellent vacuum for small to medium carpeted floors Picks up dirt and hair good Easy to empty comes with a brush to clean the dirt compartment but I use canned air to cl...
520,Great Cordless Vacuum This product is amazing I especially love how easy to carry this around my house Great suction and the compressor is really a great feature
521,Great cordless vacuum This is a great cordless vacuum Works well and did a great job with dog hair I have a long haired dog who sheds a ton and it does well I love that it has several different ac...
522,Good purchase I purchased this as a gift for my wifes son and he was very pleased with it He said that it was easy to use and picked up pet hair better than he expected He seemed very happy with h...
523,Amazing This is the best product i got For the price is absolutely amazing \nBuy it You deserve it \nMy wife just love it
524,And yes This is a lot better than v11 dyson\nFeels premium
525,Good Very good\nI like this vaccum \nYou must have this one
526,Compliments Corded Vacuum Doesn’t Replace Great vacuum…BUT I’ve been researching this vacuum for quite a while I waited for a slight price drop and finally bought it Here’s my thoughts…
527,THE GOODBuild quality This vacuum feels great in your hand It’s lightweight easy to maneuver and nothing about it feels cheap This particular version comes with multiple accessories that make the ...
528,THE BADSuction power This is literally the only thing I don’t like about the vacuum Most reviews I watched or read said that it had good power but that wasn’t my experience In standard mode the su...
529,THE CONCLUSIONThis is a great vacuum if you have hard surface floors throughout your home In my opinion I wouldn’t use it as the only vacuum in my house as I don’t feel that it has enough suction ...
530,Good vacuum Good vacuum but I chose the Dyson It was a little more power Still a fantastic vacuum
531,Excellent Vacuum Excellent vacuum Suction much better than our Dyson cordless vacuum LG gives you a free vacuum stand Comes with 2 batteries it’s lightweight
532,Excellent unit Excellent unit much better then the Dyson it replaces 2 battery is good
533,product its little expensive but good product to clean small and large areas in the house
534,Sturdy and easy setup Pricey but you get what you pay for best vacuum Ive ever owned and works great at picking things up on every surface No concerns but giving it 4 stars due to longevity being ...
535,Excellent vacuum Compared to Dyson V8 Ive used for 5 years this LG is much quieter I can safely vacuum at night and is more userfriendly and efficiently made eg extra battery heightadjustable easi...
536,Lg zero Love how easy it is Would recommend for anyone that has a lot of stairs carpet or hardwood works great on both
537,LG CordZero Vaccum Quiet and sleek design One of the downsides of this product is you have to charge the battery with it installed it would be very helpful if there is a separate charger included
538,Poor suction and battery malfunctions I purchased this vacuum in September and it gave out in early fab barely lasted 5 ounce one of the batteries died had to send back to the repair for LG warran...
539,Buy at your own risk
540,Stylish but overpriced Prosstylish stand kompressor cleaning mechanism battery life power punch noozle extra filter  battery 10 yrs motor life warranty
541,Consonly 2 holdershanger for the tools no 3rd holderhanger or storage bag for power punch noozle Suction power is similar to some of those in the hundred dollars range Overpriced optional accessor...
542,With the given price LG should include a flexible extension hose and storage bag for the tools
543,Just buy it Great light weight and powerful vacuum better than my old v7 dyson
544,Love it I love this vacuum I used it after using my big upright vacuum and cant believe the amount of dirt the LG pulled up This works extremely well and is fun to use
545,Underwhelming Stick Underwhelming Light suction and not great on floors Thought this would be my favorite item ever and it is my least favorite
546,Amazing design Great vacuum I have had this vacuum for a few weeks now and it is amazing love it
547,vac Everything is working as expected No problems setting up
548,Wow makes vacuuming a journey and not a choir I love this thing the quality of it reflects the price Well made and amazing to use It made vacuuming my scheduled weekly hobby
549,Best Stick Vacuum Ever An amazing stick vacuum that has already replaced our normal vacuum Cant recommend this cool product enough
550,LGStick Vacuum One of the best cordless vacuums we have ever owned We love it
551,LG cordless vacuum I bought this as a gift for my sister She has it long enough now to give me her honest opinion She loves it
552,LG Cord Zero I know this vac to be one of the best brand out there so I didnt purchase extra warranty because I believe in their product quality
553,VAC Great product can’t work without it Would buy it again
554,Oh vacuum cleaner Works better than expected didn’t know lg even had a vacuum cleaner
555,Great vacuum Great product Works better then advertised Highly recommend it
556,Love it This is better than dyson vacuums We had the V11 outsize one and it is better than that because of battery life stand warranty etc
557,Vacuum LG The best vacuum I ever had Clean like no other vacuum Also great price
558,Performed as advertised This vacuum is as quiet as advertised The tools meet most needs but the supplemental tool package adds to its versatility
559,Dyson Killer My first LG CordZero makes me want to vacuum because it is so easy And it is a big hit in mecca Korea as well
560,Nice but a bit to narrow Everything works well Why dont any manufactures make the cleaning head wider That said Dyson does but its 800
561,LG Best of the best the best vacuum cleaner I have ever had copes with its task
562,Cant wait Seems great in its box cant wait to use it on christmas but it seems heavy duty and the box is great
563,Awesome vacuum I purchaed this awesome LG vacuum when my Dyson died So far I am really happy with it It is way better than Dyson Highly recommend
564,Yes Really good vacuum Very comparable to dyson but had addressed the the problems that other vacuums had
565,unbelievable used Dyson in the past \nPurchased after we moved\nNo feeling of strong air to my face quiet and easy to charge
566,Amazing Love it Fantastic vacuum and gets up the pet hair from 3 Shepherds like it’s nothing
567,Review Fantastic vacuum Works well and had a quality build
568,Great item The suction on this little guy is great value Would totally buy again
569,good It is very nice and works really well I am happy with this purchase
570,LG Vacuum I vacuum my home more often since I got this LG vacuum Amazing
571,Thincompressor The suction power in this machine is great But the canister compressor completely broke off…
572,In my opinion We love using this vacuum With two dogs we use it daily
573,LG cordzero Easy to setup and use Cleans great Worth the price
574,Great purchase Love it works great and love the push down on the inside
575,LG Cordzero This is my first ever cordless vacuum so I have nothing to compare it with Unlike the Costco package I was disappointed that this does not come with the soft roller for hard floor I ha...
576,Frankie Very handy easy and convenient when you need it quickly
577,Works great with less noisy Like it because air ventilate Direction is against from my face
578,Expensive but worth it Absolutely love this vacuum We bought this to replace a handheld vacuum because we wanted something longer that we didnt need to bend down to vacuum along our hard wood floo...
579,Excellent vacuum Great vacuum for being a cordless Great on any floors
580,For tech nerds I love everything LG Great products and very reliable
581,Too expensive Not a ton of suction \nDoesn’t pick up more then crumps unless your using just the hose\nHopefully last long cause it’s was expensive
582,Vacuum Overpriced Shark is as good at half the price I would actually like to return it and get my money back
583,Powerful Easy to use Long battery life I purchased this stick vac for a new house we just moved into with all hardwood floors This thing is awesome Highly recommend for a quick clean up On Turbo t...
584,lg vaccuum It does not seem to vacuum strongly I expected it to be strong
585,Back to the Dyson Wanted to try a different brand went with LG after reading reviews This has to be the worst handheld vac I’ve owned no suction power at all compared to Dyson After owing multiple...
586,CORDLESS SSTICK VACUUM VERY LIGHT AND EASY TO USE PICKS UP A LOT OF DIRT AND DUST
587,Great vacuum The vac is well made and has great cleaning power \nThe Kompressor mechanism for compressing dirt is a step saver in reduced trips to empty the canister\nWe had the non Kompressor mod...
588,average product power is lower than dyson but price is same as dyson i dont suggest this product if price drop down to 300 is ok
589,Love it This vacuum has been an awesome addition to our household Its light and the 3 modes are great We switch between power and turbo and its also very helpful having 2 batteries The docking sta...
590,Great suctionsounds futuristic And having the app is awesome as well Would recommend to anyone
591,Dont go by the pictures Please note that this package does not include the hard floor soft brush roller
592,Powerful Stick Vac I really like this LG stick vacuum The dust bin is easy to clean and I like that it comes with two batteries Connecting it to the WiFi is easy and very helpful
593,Zero stars Zero stars \nThis vacuum did not work from the moment it came out of the box I made the mistake of calling LG instead of returning and while waiting for LG to get back to me I lost my r...
594,Don’t buy We used vacuum 23 times a week during 3 month and it was great But week after went to crazy battery works up to 1 min and turbo going by itself \nSo it’s not returnable now with 10 years...
595,Awesome vaccum This is a very powerful goodsized vacuum While it might seem expensive it is worth every penny Great suction easy emptying and fits in the corner of a room or closet very easily Goo...
596,Being generous in my Rating Overall a mediocre product one of the few times I’m glad I just didn’t start breaking down the box it came in and trashed it The main cleaning roller attachment used fo...
597,Love this vacuum I am pleased with my purchase I have dogs and cats and this picks up all the fur and messes Easy to dispose from the container and easy to wash and clean Convenient and lightweigh...
598,Waste of money Regret this decision to purchase such an expensive vacuum The suction is awful using the turbo doesn’t really help just drains the battery faster Don’t waste your money I should’ve ...
599,Love the cordless portability This is an amazing vacuum albeit at a price point that many including myself feel is a little too high I have a Roomba i7 that runs Monday through Friday but I also h...
600,Excellent choice It works perfectly it comes with useful accesories Great suction power Comfortable to manage The double battery is great when you are performing a full house cleaning session I re...
601,Poor quality Purchased this item to a replace another stick vac that died after two years This one didn’t even make it 6 weeks Using it today the vacuum started pulsing and then died Emptied and c...
602,Great lightweight vaccum Having four pets we needed something that was easy to use every day This is a small lightweight but powerful vaccum It cleans very well and holds a good charge
603,Great Vacuum I got this because our old trinational hoover was a pain to use on stairs and was always getting clogged with dog hair I got this because it was on sale and had more useful features t...
604,So far so good I’ve only had this vacuum a week but so far it is awesome Easily cleans hardwood tile and carpet Really good suction Lightweight and comfortable to holduse Battery life is great Eas...
605,Expensive and not for everyone But I love it Battery vacuums are not for everyone The power is not going to replace your cord But I tried Dyson and the LG Either must have the largest battery And ...
606,Good Vacuum I really enjoy using this vacuum Having two batteries makes it much easier since you wont need to rush before your battery dies I do wish it came with a soft roller attachment for hard...
607,Small buy mighty I have an upright vacuum that I am very happy with however its quite heavy Decided to purchase this LG Cordless Stick Vacuum for convenience This stick vacuum is small but solid I...
608,Mighty mini This lightweight nimble stick vac stands at the ready and is convenient to use as expected\nWhat really impressed us was the incredible amount of stuff it picks up It completely outper...
609,Wholehome powerful cordless vac Maybe the best cordless vacuum in the market right now With the 120 minute run time across two batteries and the ability to compress the contents in the dust bin  y...
610,Great After a diligent research  comparison between LG and Dyson I decided to make this purchase and I am so glad I did
611,It’s such a great vacuum and has amazing suction power I suffer from allergies and this device is so quick and efficient to pick up dust and really clean carpets I did my whole bedroom and I’ve ne...
612,It’s lightweight customizable and has two batteries that can be interchanged Has more suction power than the Dyson V11 and it’s honestly way better looking in my opinion
613,I love my cordless vacuum
614,Excellent Excellent vacuum with good suction and lightweight enough so it is easy to vacuum with Great having two batteries
